ITEM	ATRIBUTO	TIPO	DESCRIÇÃO DO ATRIBUTO
69	CM21	INPUT	Consumo medido no mês 21.
70	CM22	INPUT	Consumo medido no mês 22.
71	CM23	INPUT	Consumo medido no mês 23.
72	CM24	INPUT	Consumo medido no mês 24.
73	CM25	INPUT	Consumo medido no mês 25.
74	CM26	INPUT	Consumo medido no mês 26.
75	CM27	INPUT	Consumo medido no mês 27.
76	CM28	INPUT	Consumo medido no mês 28.
77	CM29	INPUT	Consumo medido no mês 29.
78	CM30	INPUT	Consumo medido no mês 30.
79	CM31	INPUT	Consumo medido no mês 31.
80	CM32	INPUT	Consumo medido no mês 32.
81	CM33	INPUT	Consumo medido no mês 33.
82	CM34	INPUT	Consumo medido no mês 34.
83	CM35	INPUT	Consumo medido no mês 35.
84	CM36	INPUT	Consumo medido no mês 36.
85	CM37	INPUT	Consumo medido no mês 37.
86	CM38	INPUT	Consumo medido no mês 38.
87	CM39	INPUT	Consumo medido no mês 39.
88	CM40	INPUT	Consumo medido no mês 40.
89	CM41	INPUT	Consumo medido no mês 41.
90	CM42	INPUT	Consumo medido no mês 42.
91	CM43	INPUT	Consumo medido no mês 43.
92	COD_100EX	INPUT	Quantidade de fiscalizações exclusivas com fraude intensionais para os vizinhos até 30 metros.
93	COD_200EX	INPUT	Quantidade de fiscalizações exclusivas com defeito técnico para os vizinhos até 30 metros.
94	COD_300EX	INPUT	Quantidade de fiscalizações exclusivas sem perda técnica para os vizinhos até 30 metros.
95	DIFF_LG	INPUT	Tempo em meses que o consumidor é cliente.
96	DIFF_MES_IDADE	INPUT	Tempo em meses da idade do consumidor.
97	DVAP_CONS24	INPUT	Desvio padrão do consumo para os vizinhos até 30 metros nos últimos 24 meses.
98	ID_POSTE	INPUT	Id do poste.
99	INSTALACAO	ID	ID do consumidor.
100	LATITUDE	INPUT	Coordenada geografica, latitude.
101	LONGITUDE	INPUT	Coordenada geografica, longitude.
102	MAX_CONS24	INPUT	Máximo consumo para os vizinhos até 30 metros nos últimos 24 meses.
103	MED_CONS24	INPUT	Média do consumo para os vizinhos até 30 metros nos últimos 24 meses.
104	MIN_CONS24	INPUT	Menor consumo para os vizinhos até 30 metros nos últimos 24 meses.
105	MIN01	INPUT	Flag de consumo minimo no mês 1
106	MIN03	INPUT	Flag de consumo minimo no mês 2
107	MIN04	INPUT	Flag de consumo minimo no mês 3
108	MIN05	INPUT	Flag de consumo minimo no mês 4
109	MIN06	INPUT	Flag de consumo minimo no mês 5
110	MIN07	INPUT	Flag de consumo minimo no mês 6
111	MIN08	INPUT	Flag de consumo minimo no mês 7
112	MIN09	INPUT	Flag de consumo minimo no mês 8
113	MIN10	INPUT	Flag de consumo minimo no mês 9
114	MIN11	INPUT	Flag de consumo minimo no mês 10
115	MIN12	INPUT	Flag de consumo minimo no mês 11
116	MIN13	INPUT	Flag de consumo minimo no mês 12
117	MIN14	INPUT	Flag de consumo minimo no mês 13
118	MIN15	INPUT	Flag de consumo minimo no mês 14
119	MIN16	INPUT	Flag de consumo minimo no mês 15
120	MIN17	INPUT	Flag de consumo minimo no mês 16
121	MIN18	INPUT	Flag de consumo minimo no mês 17
122	MIN19	INPUT	Flag de consumo minimo no mês 18
123	MIN20	INPUT	Flag de consumo minimo no mês 19
124	MIN21	INPUT	Flag de consumo minimo no mês 20
125	MIN22	INPUT	Flag de consumo minimo no mês 21
126	MIN23	INPUT	Flag de consumo minimo no mês 22
127	MIN24	INPUT	Flag de consumo minimo no mês 23
128	MIN25	INPUT	Flag de consumo minimo no mês 24
129	MIN26	INPUT	Flag de consumo minimo no mês 25
130	MIN27	INPUT	Flag de consumo minimo no mês 26
131	MIN28	INPUT	Flag de consumo minimo no mês 27
132	MIN29	INPUT	Flag de consumo minimo no mês 28
133	MIN30	INPUT	Flag de consumo minimo no mês 29
134	MIN31	INPUT	Flag de consumo minimo no mês 30
135	MIN32	INPUT	Flag de consumo minimo no mês 31
136	MIN33	INPUT	Flag de consumo minimo no mês 32
137	MIN34	INPUT	Flag de consumo minimo no mês 33
138	MIN35	INPUT	Flag de consumo minimo no mês 34
139	MIN36	INPUT	Flag de consumo minimo no mês 35
140	MIN37	INPUT	Flag de consumo minimo no mês 36
141	MIN38	INPUT	Flag de consumo minimo no mês 37
142	MIN39	INPUT	Flag de consumo minimo no mês 38
143	MIN40	INPUT	Flag de consumo minimo no mês 39
144	MIN41	INPUT	Flag de consumo minimo no mês 40
145	MIN42	INPUT	Flag de consumo minimo no mês 41
146	NORMALIZACAO	INPUT	Total de normalizações de padrão de medição.
147	QTD_MIN03	INPUT	Total de consumos minimos nos últimos 3 meses.
148	QTD_MIN06	INPUT	Total de consumos minimos nos últimos 6 meses.
149	QTD_MIN09	INPUT	Total de consumos minimos nos últimos 9 meses.
150	QTD_MIN12	INPUT	Total de consumos minimos nos últimos 12 meses.
151	REINCIDENCIA	INPUT	Total de fraudes ou defeitos técnicos constatados no consumidor.
152	SUM_COD100	INPUT	Total de fraudes constatadas nos vizinhos.
153	SUM_COD200	INPUT	Total de defeitos técnicos com perdas técnicas constatadas nos vizinhos.
154	SUM_COD300	INPUT	Total de fiscalizações executadas nos vizinhos sem perdas técnicas.
155	SUM_MINIMOS12	INPUT	Total de consumos minimos dos vizinhos nos últimos 12 meses.
156	SUM_NORMALIZACAO	INPUT	Total de normalizações de padrão de medição nos vizinhos.
157	SUM_TROCA_MD	INPUT	Total de trocas de medidores dos vizinhos.
158	TARGET	TARGET	Variável de saída.
159	TROCA_MD	INPUT	Total de trocas de medidores.
160	UC_FISCALIZADAS	INPUT	Quantidade de fiscalizaçãos nos vizinhos até 30 mestros.
161	VR01	INPUT	Variação de consumo entre o mês anterior e o mês 1
162	VR02	INPUT	Variação de consumo entre o mês anterior e o mês 2
163	VR03	INPUT	Variação de consumo entre o mês anterior e o mês 3
164	VR04	INPUT	Variação de consumo entre o mês anterior e o mês 4
165	VR05	INPUT	Variação de consumo entre o mês anterior e o mês 5
166	VR06	INPUT	Variação de consumo entre o mês anterior e o mês 6
167	VR07	INPUT	Variação de consumo entre o mês anterior e o mês 7
168	VR08	INPUT	Variação de consumo entre o mês anterior e o mês 8
169	VR09	INPUT	Variação de consumo entre o mês anterior e o mês 9
170	VR10	INPUT	Variação de consumo entre o mês anterior e o mês 10
171	VR11	INPUT	Variação de consumo entre o mês anterior e o mês 11
172	VR12	INPUT	Variação de consumo entre o mês anterior e o mês 12
173	VR13	INPUT	Variação de consumo entre o mês anterior e o mês 13
174	VR14	INPUT	Variação de consumo entre o mês anterior e o mês 14
175	VR15	INPUT	Variação de consumo entre o mês anterior e o mês 15
176	VR16	INPUT	Variação de consumo entre o mês anterior e o mês 16
177	VR17	INPUT	Variação de consumo entre o mês anterior e o mês 17
178	VR18	INPUT	Variação de consumo entre o mês anterior e o mês 18
179	VR19	INPUT	Variação de consumo entre o mês anterior e o mês 19
180	VR20	INPUT	Variação de consumo entre o mês anterior e o mês 20
181	VR21	INPUT	Variação de consumo entre o mês anterior e o mês 21
182	VR22	INPUT	Variação de consumo entre o mês anterior e o mês 22
183	VR23	INPUT	Variação de consumo entre o mês anterior e o mês 23
184	VR24	INPUT	Variação de consumo entre o mês anterior e o mês 24
185	VR25	INPUT	Variação de consumo entre o mês anterior e o mês 25
186	VR26	INPUT	Variação de consumo entre o mês anterior e o mês 26
187	VR27	INPUT	Variação de consumo entre o mês anterior e o mês 27
188	VR28	INPUT	Variação de consumo entre o mês anterior e o mês 28
189	VR29	INPUT	Variação de consumo entre o mês anterior e o mês 29
190	VR30	INPUT	Variação de consumo entre o mês anterior e o mês 30
191	VR31	INPUT	Variação de consumo entre o mês anterior e o mês 31
192	VR32	INPUT	Variação de consumo entre o mês anterior e o mês 32
193	VR33	INPUT	Variação de consumo entre o mês anterior e o mês 33
194	VR34	INPUT	Variação de consumo entre o mês anterior e o mês 34
195	VR35	INPUT	Variação de consumo entre o mês anterior e o mês 35
196	VR36	INPUT	Variação de consumo entre o mês anterior e o mês 36
197	VR37	INPUT	Variação de consumo entre o mês anterior e o mês 37
198	VR38	INPUT	Variação de consumo entre o mês anterior e o mês 38
199	VR39	INPUT	Variação de consumo entre o mês anterior e o mês 39
200	VR40	INPUT	Variação de consumo entre o mês anterior e o mês 40
201	VR41	INPUT	Variação de consumo entre o mês anterior e o mês 41
202	VR42	INPUT	Variação de consumo entre o mês anterior e o mês 42
